,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
169,16.0,Sun,2021-12-05,15:00,Venezia,1.8,3–4,1.9,Hellas Verona,7608.0,Stadio Pierluigi Penzo,Alessandro Prontera,Match Report,
170,16.0,Sun,2021-12-05,15:00,Spezia,2.2,2–2,1.4,Sassuolo,4987.0,Stadio Alberto Picco,Fabio Maresca,Match Report,
171,16.0,Sun,2021-12-05,18:00,Sampdoria,1.4,1–3,1.2,Lazio,5883.0,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
172,16.0,Sun,2021-12-05,20:45,Juventus,2.5,2–0,0.0,Genoa,18458.0,Allianz Stadium,Daniele Chiffi,Match Report,
173,16.0,Mon,2021-12-06,18:30,Empoli,2.4,3–1,2.1,Udinese,4808.0,Stadio Carlo Castellani,Daniele Paterna,Match Report,
174,16.0,Mon,2021-12-06,20:45,Cagliari,1.2,1–1,1.4,Torino,8799.0,Sardegna Arena,Luca Massimi,Match Report,
175,,,,,,,,,,,,,,
176,17.0,Fri,2021-12-10,20:45,Genoa,1.0,1–3,1.4,Sampdoria,,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
177,17.0,Sat,2021-12-11,15:00,Fiorentina,2.2,4–0,1.0,Salernitana,18579.0,Stadio Artemio Franchi,Davide Ghersini,Match Report,
178,17.0,Sat,2021-12-11,18:00,Venezia,0.4,1–1,1.6,Juventus,8350.0,Stadio Pierluigi Penzo,Paolo Valeri,Match Report,
179,17.0,Sat,2021-12-11,20:45,Udinese,1.7,1–1,1.1,Milan,16385.0,Dacia Arena,Francesco Fourneau,Match Report,
180,17.0,Sun,2021-12-12,12:30,Torino,1.6,2–1,1.0,Bologna,6562.0,Stadio Olimpico di Torino,Federico Dionisi,Match Report,
181,17.0,Sun,2021-12-12,15:00,Hellas Verona,1.1,1–2,1.7,Atalanta,15000.0,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
182,17.0,Sun,2021-12-12,18:00,Sassuolo,1.4,2–1,0.3,Lazio,5100.0,Stadio Città del Tricolore,Simone Sozza,Match Report,
